productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost
118807,Lightning Energy (17),Lightning Energy 17,https://tcgplayer-cdn.tcgplayer.com/product/118807_200w.jpg,3,1796,https://cpt.tcgcsv.com/9xZ,2022-12-19T17:08:04.997,1,,0.04,0.25,0.5,0.25,,Normal,17/30,Common,Basic Lightning Energy,,,,,,,
118808,Lightning Energy (18),Lightning Energy 18,https://tcgplayer-cdn.tcgplayer.com/product/118808_200w.jpg,3,1796,https://cpt.tcgcsv.com/bxZ,2022-12-19T17:08:20.813,1,,0.05,0.23,0.88,0.05,,Normal,18/30,Common,Basic Lightning Energy,,,,,,,
118809,Lightning Energy (29),Lightning Energy 29,https://tcgplayer-cdn.tcgplayer.com/product/118809_200w.jpg,3,1796,https://cpt.tcgcsv.com/cxZ,2022-12-19T17:13:02.72,1,,0.08,0.25,1.24,0.1,,Normal,29/30,Common,Basic Lightning Energy,,,,,,,
118810,Electivire (4),Electivire 4,https://tcgplayer-cdn.tcgplayer.com/product/118810_200w.jpg,3,1796,https://cpt.tcgcsv.com/dxZ,2022-12-19T17:00:09.9,1,,0.12,0.25,4.0,0.15,,Normal,4/30,Common,Lightning,110,Stage 1,[2] Knuckle Punch (30),[1LL] Electroslug (90),Fx2,None,3
118811,Electivire (25),Electivire 25,https://tcgplayer-cdn.tcgplayer.com/product/118811_200w.jpg,3,1796,https://cpt.tcgcsv.com/fxZ,2022-12-19T17:11:08.247,1,,0.1,0.3,4.0,0.45,,Normal,25/30,Common,Lightning,110,Stage 1,[2] Knuckle Punch (30),[1LL] Electroslug (90),Fx2,None,3
118812,Taillow,Taillow,https://tcgplayer-cdn.tcgplayer.com/product/118812_200w.jpg,3,1796,https://cpt.tcgcsv.com/gxZ,2022-12-19T17:01:08.143,1,,0.15,0.25,4.0,0.2,,Normal,7/30,Common,Colorless,50,Basic,"[1] Double Peck (10x)
<br>Flip 2 coins. This attack does 10 damage times the number of heads.",,Lx2,F-20,1
118813,Electrike (11),Electrike 11,https://tcgplayer-cdn.tcgplayer.com/product/118813_200w.jpg,3,1796,https://cpt.tcgcsv.com/hxZ,2022-12-19T17:06:30.343,1,,0.02,0.22,1.0,0.22,,Normal,11/30,Common,Lightning,60,Basic,[1] Bite (10),,Fx2,M-20,1
118814,Electrike (28),Electrike 28,https://tcgplayer-cdn.tcgplayer.com/product/118814_200w.jpg,3,1796,https://cpt.tcgcsv.com/jxZ,2022-12-19T17:12:38.957,1,,0.15,0.25,1.0,0.18,,Normal,28/30,Common,Lightning,60,Basic,[1] Bite (10),,Fx2,M-20,1
118815,Blitzle (12),Blitzle 12,https://tcgplayer-cdn.tcgplayer.com/product/118815_200w.jpg,3,1796,https://cpt.tcgcsv.com/kxZ,2022-12-19T17:06:46.753,1,,0.06,0.2,0.7,0.16,,Normal,12/30,Common,Lightning,60,Basic,"[1] Reckless Charge (20)
<br>This Pokemon does 10 damage to itself.",,Fx2,M-20,1
118816,Blitzle (26),Blitzle 26,https://tcgplayer-cdn.tcgplayer.com/product/118816_200w.jpg,3,1796,https://cpt.tcgcsv.com/lxZ,2022-12-19T17:11:42.343,1,,0.09,0.2,4.0,0.14,,Normal,26/30,Common,Lightning,60,Basic,"[1] Reckless Charge (20)
<br>This Pokemon does 10 damage to itself.",,Fx2,M-20,1
118817,Manectric (13),Manectric 13,https://tcgplayer-cdn.tcgplayer.com/product/118817_200w.jpg,3,1796,https://cpt.tcgcsv.com/mxZ,2022-12-19T17:07:11.097,1,,0.12,0.25,4.0,0.37,,Normal,13/30,Common,Lightning,60,Stage 1,"[L] Random Spark
<br>This attack does 30 damage to 1 of your opponent's Pokemon. <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",,Fx2,M-20,1
