productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2
121206,Klefki,Klefki,https://tcgplayer-cdn.tcgplayer.com/product/121206_200w.jpg,3,1815,https://cpt.tcgcsv.com/8v-,2025-02-05T21:22:05.24,1,0.25,0.58,2.95,0.67,,Reverse Holofoil,80/114,Uncommon,Fairy,70,Basic,"<b>Ability — Wonder Lock</b>
<br> Once during your turn <em>(before your attack)</em>, if this Pokemon is on your Bench, you may discard all cards attached to this Pokemon and attach it to 1 of your Pokemon as a Pokemon Tool card. Prevent any damage done to the Pokemon this card is attached to by attacks from your opponent's Mega Evolution Pokemon. If this card is attached to a Pokemon, discard this card at the end of your opponent's turn.",[1Y] Fairy Wind (30),Mx2,D-20,1,
121207,Xerneas,Xerneas,https://tcgplayer-cdn.tcgplayer.com/product/121207_200w.jpg,3,1815,https://cpt.tcgcsv.com/9v-,2024-12-06T21:18:13.12,1,0.25,0.68,35.0,0.69,,Holofoil,81/114,Holo Rare,Fairy,130,Basic,,"[Y] Geomancy 
<br>Choose 2 of your Benched Pokemon. For each of those Pokemon, search your deck for a Fairy Energy card and attach it to that Pokemon. Shuffle your deck afterward.",Mx2,D-20,2,"[1YY] Rainbow Spear (100)
<br>Discard an Energy attached to this Pokemon."
121207,Xerneas,Xerneas,https://tcgplayer-cdn.tcgplayer.com/product/121207_200w.jpg,3,1815,https://cpt.tcgcsv.com/9v-,2024-12-06T21:18:13.12,1,0.38,0.99,3.99,1.08,,Reverse Holofoil,81/114,Holo Rare,Fairy,130,Basic,,"[Y] Geomancy 
<br>Choose 2 of your Benched Pokemon. For each of those Pokemon, search your deck for a Fairy Energy card and attach it to that Pokemon. Shuffle your deck afterward.",Mx2,D-20,2,"[1YY] Rainbow Spear (100)
<br>Discard an Energy attached to this Pokemon."
121208,Xerneas BREAK,Xerneas BREAK,https://tcgplayer-cdn.tcgplayer.com/product/121208_200w.jpg,3,1815,https://cpt.tcgcsv.com/bv-,2026-03-09T13:03:59.61,1,3.95,5.25,12.87,5.41,4.69,Holofoil,82/114,Rare BREAK,Fairy,150,BREAK Evolution,"<em>Xerneas BREAK retains the attacks, Abilities, Weakness, Resistance, and Retreat Cost of its previous Evolution.</em>","[YY] Life Stream (20x)
<br>This attack does 20 damage times the amount of Energy attached to all of your Pokemon.",None,None,0,
121209,Druddigon,Druddigon,https://tcgplayer-cdn.tcgplayer.com/product/121209_200w.jpg,3,1815,https://cpt.tcgcsv.com/cv-,2022-12-19T19:28:50.99,1,0.1,0.25,19.5,0.2,0.23,Normal,83/114,Rare,Dragon,120,Basic,,"[2] Proud Fang (20+)
<br>If your opponent has any Pokemon BREAK in play, this attack does 60 more damage.",Yx2,None,2,"[1RW] Giga Claw (100)
<br>Flip 2 coins. If both of them are tails, this attack does nothing."
121209,Druddigon,Druddigon,https://tcgplayer-cdn.tcgplayer.com/product/121209_200w.jpg,3,1815,https://cpt.tcgcsv.com/cv-,2022-12-19T19:28:50.99,1,0.2,0.57,2.95,0.58,,Reverse Holofoil,83/114,Rare,Dragon,120,Basic,,"[2] Proud Fang (20+)
<br>If your opponent has any Pokemon BREAK in play, this attack does 60 more damage.",Yx2,None,2,"[1RW] Giga Claw (100)
<br>Flip 2 coins. If both of them are tails, this attack does nothing."
121210,Deino,Deino,https://tcgplayer-cdn.tcgplayer.com/product/121210_200w.jpg,3,1815,https://cpt.tcgcsv.com/dv-,2023-02-12T15:49:36.47,1,0.01,0.15,4.0,0.14,0.1,Normal,84/114,Common,Dragon,60,Basic,,"[1] Roar
<br>Your opponent switches his or her Active Pokemon with 1 of his or her Benched Pokemon.",Yx2,None,2,[PD] Headbutt Bounce (20)
121210,Deino,Deino,https://tcgplayer-cdn.tcgplayer.com/product/121210_200w.jpg,3,1815,https://cpt.tcgcsv.com/dv-,2023-02-12T15:49:36.47,1,0.01,0.25,5.0,0.25,,Reverse Holofoil,84/114,Common,Dragon,60,Basic,,"[1] Roar
<br>Your opponent switches his or her Active Pokemon with 1 of his or her Benched Pokemon.",Yx2,None,2,[PD] Headbutt Bounce (20)
121211,Zweilous,Zweilous,https://tcgplayer-cdn.tcgplayer.com/product/121211_200w.jpg,3,1815,https://cpt.tcgcsv.com/fv-,2026-01-02T22:56:32.763,1,0.03,0.2,4.0,0.16,0.1,Normal,85/114,Uncommon,Dragon,90,Stage 1,,"[1] Double Hit (20x)
<br>Flip 2 coins. This attack does 20 damage times the number of heads.",Yx2,None,3,"[1PD] Power Breath (80)
<br>Discard an Energy attached to this Pokemon."
121211,Zweilous,Zweilous,https://tcgplayer-cdn.tcgplayer.com/product/121211_200w.jpg,3,1815,https://cpt.tcgcsv.com/fv-,2026-01-02T22:56:32.763,1,0.1,0.39,2.47,0.39,,Reverse Holofoil,85/114,Uncommon,Dragon,90,Stage 1,,"[1] Double Hit (20x)
<br>Flip 2 coins. This attack does 20 damage times the number of heads.",Yx2,None,3,"[1PD] Power Breath (80)
<br>Discard an Energy attached to this Pokemon."
