productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,extAttack3,extResistance
218626,Pokemon TCG: Battle Academy,Pokemon TCG Battle Academy,https://tcgplayer-cdn.tcgplayer.com/product/218626_200w.jpg,3,2686,https://cpt.tcgcsv.com/xsM2,2020-07-30T13:14:32.6,1,"Join the Pokémon Trainers at the Battle Academy! Prepare for a Pokémon battle with the ready-to-play Pokémon Trading Card Game Battle Academy! The Battle Academy includes everything two players need to play, with guides to the decks so your first game is easy to follow.
<br><br>You can choose Charizard or Pikachu to lead your team in a heads-up battle against another Trainer. Then, switch up the decks to play Mewtwo against Charizard or Pikachu, and lead a different team of Pokémon into the arena! With a little strategy and a little luck, you can battle with the best!
<br><br>
The Pokémon TCG Battle Academy includes:
<br>• 3 complete Pokémon TCG decks (60 cards each)
<br>• Each deck includes a powerful special Pokémon: Charizard GX, Raichu GX, or Mewtwo GX
<br>• 2 tutorial guides to play right away
<br>• 1 two-player game board
<br>• 3 deck boxes to keep the cards organized
<br>• 1 rulebook
<br>• 1 large metallic coin
<br>• 1 set of damage counters
219065,Eevee - 49/68 (#36 Charizard Stamped),Eevee 49 68 36 Charizard Stamped,https://tcgplayer-cdn.tcgplayer.com/product/219065_200w.jpg,3,2686,https://cpt.tcgcsv.com/kFM2,2022-09-19T17:51:30.37,1,,,0.25,0.72,5.39,0.69,,Normal,049/068,Promo,Colorless,60,Basic,[1] Gnaw (20),,Fx2,1,,
219066,Flareon - SM186 (#27 Charizard Stamped),Flareon SM186 27 Charizard Stamped,https://tcgplayer-cdn.tcgplayer.com/product/219066_200w.jpg,3,2686,https://cpt.tcgcsv.com/lFM2,2023-09-19T16:28:23.15,1,,,0.4,1.11,4.99,1.06,,Normal,SM186,Promo,Fire,110,Stage 1,[1] Bite (20),"[1RR] Fire Spin (130)
<br>Discard 2 R Energy from this Pokémon.",Wx2,2,,
219067,Flareon - SM186 (#44 Charizard Stamped),Flareon SM186 44 Charizard Stamped,https://tcgplayer-cdn.tcgplayer.com/product/219067_200w.jpg,3,2686,https://cpt.tcgcsv.com/mFM2,2022-09-19T18:08:11.313,1,,,0.35,1.02,3.31,1.03,,Normal,SM186,Promo,Fire,110,Stage 1,[1] Bite (20),"[1RR] Fire Spin (130)
<br>Discard 2 R Energy from this Pokémon.",Wx2,2,,
219070,Great Ball - 119/149 (#33 Charizard Stamped),Great Ball 119 149 33 Charizard Stamped,https://tcgplayer-cdn.tcgplayer.com/product/219070_200w.jpg,3,2686,https://cpt.tcgcsv.com/qFM2,2022-09-19T18:09:44.72,1,Look at the top 7 cards of your deck. You may reveal a Pokémon you find there and put it into your hand. Shuffle the other cards back into your deck.<br><br> You may play as many Item cards as you like during your turn <em>(before your attack)</em>.,,0.01,0.2,1.5,0.16,,Normal,119/149,Promo,Item,,,,,,,,
219071,Great Ball - 119/149 (#43 Charizard Stamped),Great Ball 119 149 43 Charizard Stamped,https://tcgplayer-cdn.tcgplayer.com/product/219071_200w.jpg,3,2686,https://cpt.tcgcsv.com/rFM2,2022-09-19T18:10:18.52,1,Look at the top 7 cards of your deck. You may reveal a Pokémon you find there and put it into your hand. Shuffle the other cards back into your deck.<br><br> You may play as many Item cards as you like during your turn <em>(before your attack)</em>.,,0.03,0.2,1.33,0.17,,Normal,119/149,Promo,Item,,,,,,,,
219072,Great Ball - 119/149 (#48 Charizard Stamped),Great Ball 119 149 48 Charizard Stamped,https://tcgplayer-cdn.tcgplayer.com/product/219072_200w.jpg,3,2686,https://cpt.tcgcsv.com/sFM2,2022-09-19T18:10:31.34,1,Look at the top 7 cards of your deck. You may reveal a Pokémon you find there and put it into your hand. Shuffle the other cards back into your deck.<br><br> You may play as many Item cards as you like during your turn <em>(before your attack)</em>.,,0.03,0.23,1.49,0.18,,Normal,119/149,Promo,Item,,,,,,,,
219073,Great Ball - 119/149 (#55 Charizard Stamped),Great Ball 119 149 55 Charizard Stamped,https://tcgplayer-cdn.tcgplayer.com/product/219073_200w.jpg,3,2686,https://cpt.tcgcsv.com/tFM2,2022-09-19T18:10:56.143,1,Look at the top 7 cards of your deck. You may reveal a Pokémon you find there and put it into your hand. Shuffle the other cards back into your deck.<br><br> You may play as many Item cards as you like during your turn <em>(before your attack)</em>.,,0.05,0.19,1.49,0.14,0.18,Normal,119/149,Promo,Item,,,,,,,,
219076,Hau - 120/149 (#28 Charizard Stamped),Hau 120 149 28 Charizard Stamped,https://tcgplayer-cdn.tcgplayer.com/product/219076_200w.jpg,3,2686,https://cpt.tcgcsv.com/xFM2,2022-09-19T18:14:06.487,1,Draw 3 cards.<br><br> You may play only 1 Supporter card during your turn <em>(before your attack)</em>.,,0.01,0.2,1.99,0.09,,Normal,120/149,Promo,Supporter,,,,,,,,
219077,Hau - 120/149 (#41 Charizard Stamped),Hau 120 149 41 Charizard Stamped,https://tcgplayer-cdn.tcgplayer.com/product/219077_200w.jpg,3,2686,https://cpt.tcgcsv.com/zFM2,2022-09-19T18:16:43.59,1,Draw 3 cards.<br><br> You may play only 1 Supporter card during your turn <em>(before your attack)</em>.,,0.03,0.19,1.25,0.16,,Normal,120/149,Promo,Supporter,,,,,,,,
219078,Hau - 120/149 (#52 Charizard Stamped),Hau 120 149 52 Charizard Stamped,https://tcgplayer-cdn.tcgplayer.com/product/219078_200w.jpg,3,2686,https://cpt.tcgcsv.com/BFM2,2022-09-19T18:17:17.633,1,Draw 3 cards.<br><br> You may play only 1 Supporter card during your turn <em>(before your attack)</em>.,,0.02,0.19,0.65,0.11,,Normal,120/149,Promo,Supporter,,,,,,,,
