productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardType,extCardText
86278,Infernape (Team Plasma),Infernape Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/86278_200w.jpg,3,1413,https://cpt.tcgcsv.com/BwJ,2026-03-05T15:18:06.583,1,17/135,Holo Rare,130,Stage 2,[1] Torment (30) Choose 1 of the Defending Pokemon's attacks.  That Pokemon can't use that attack during your opponent's next turn.,[1R] Malevolent Fire (120) Discard all Energy attached to this Pokemon.,Wx2,,0,3.75,7.56,12.0,6.6,,Holofoil,,
86278,Infernape (Team Plasma),Infernape Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/86278_200w.jpg,3,1413,https://cpt.tcgcsv.com/BwJ,2026-03-05T15:18:06.583,1,17/135,Holo Rare,130,Stage 2,[1] Torment (30) Choose 1 of the Defending Pokemon's attacks.  That Pokemon can't use that attack during your opponent's next turn.,[1R] Malevolent Fire (120) Discard all Energy attached to this Pokemon.,Wx2,,0,4.02,4.61,30.0,5.94,,Reverse Holofoil,,
86308,Jellicent (Team Plasma),Jellicent Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/86308_200w.jpg,3,1413,https://cpt.tcgcsv.com/bxJ,2023-06-14T11:33:11.277,1,39/135,Rare,100,Stage 1,[1W] Aqua Bullet (40) Does 10 damage to 1 of your opponent's Benched Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),,Lx2,,2,0.35,0.97,3.19,0.94,,Normal,,"Spiteful Spirit - If this Pokemon is your Active Pokemon and is Knocked Out by damage from an opponent's attack, the Attacking Pokemon is now Confused and Poisoned.  (Ability)"
86308,Jellicent (Team Plasma),Jellicent Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/86308_200w.jpg,3,1413,https://cpt.tcgcsv.com/bxJ,2023-06-14T11:33:11.277,1,39/135,Rare,100,Stage 1,[1W] Aqua Bullet (40) Does 10 damage to 1 of your opponent's Benched Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),,Lx2,,2,1.62,2.95,8.0,3.32,,Reverse Holofoil,,"Spiteful Spirit - If this Pokemon is your Active Pokemon and is Knocked Out by damage from an opponent's attack, the Attacking Pokemon is now Confused and Poisoned.  (Ability)"
86358,Joltik,Joltik,https://tcgplayer-cdn.tcgplayer.com/product/86358_200w.jpg,3,1413,https://cpt.tcgcsv.com/bzJ,2023-01-10T17:04:33.97,1,50/135,Common,40,Basic,"[L] Jump On (10+) Flip a coin.  If heads, this attack does 10 more damage.",,Fx2,,1,0.15,0.5,1.82,0.54,,Normal,,
86358,Joltik,Joltik,https://tcgplayer-cdn.tcgplayer.com/product/86358_200w.jpg,3,1413,https://cpt.tcgcsv.com/bzJ,2023-01-10T17:04:33.97,1,50/135,Common,40,Basic,"[L] Jump On (10+) Flip a coin.  If heads, this attack does 10 more damage.",,Fx2,,1,2.97,3.71,4.99,3.71,,Reverse Holofoil,,
86470,Kirlia,Kirlia,https://tcgplayer-cdn.tcgplayer.com/product/86470_200w.jpg,3,1413,https://cpt.tcgcsv.com/qCJ,2025-11-11T22:40:44.09,1,60/135,Uncommon,80,Stage 1,"[P] Psy Bolt (20) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",,Px2,,1,0.2,0.33,1.99,0.38,0.26,Normal,,
86470,Kirlia,Kirlia,https://tcgplayer-cdn.tcgplayer.com/product/86470_200w.jpg,3,1413,https://cpt.tcgcsv.com/qCJ,2025-11-11T22:40:44.09,1,60/135,Uncommon,80,Stage 1,"[P] Psy Bolt (20) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",,Px2,,1,2.59,3.14,8.0,3.31,,Reverse Holofoil,,
86477,Klang,Klang,https://tcgplayer-cdn.tcgplayer.com/product/86477_200w.jpg,3,1413,https://cpt.tcgcsv.com/zCJ,2025-11-11T22:37:09.18,1,89/135,Uncommon,80,Stage 1,[M] Vice Grip (20),[2M] Gear Smash (30+) Flip 2 coins.  This attack does 20 more damage for each heads.,Rx2,P-20,2,0.1,0.25,5.0,0.23,0.21,Normal,,
86477,Klang,Klang,https://tcgplayer-cdn.tcgplayer.com/product/86477_200w.jpg,3,1413,https://cpt.tcgcsv.com/zCJ,2025-11-11T22:37:09.18,1,89/135,Uncommon,80,Stage 1,[M] Vice Grip (20),[2M] Gear Smash (30+) Flip 2 coins.  This attack does 20 more damage for each heads.,Rx2,P-20,2,0.25,0.46,2.0,0.71,,Reverse Holofoil,,
