productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extRetreatCost,extAttack2,extResistance
515671,Drifblim,Drifblim,https://tcgplayer-cdn.tcgplayer.com/product/515671_200w.jpg,3,23266,https://cpt.tcgcsv.com/rh86,2023-09-08T18:16:43.193,1,,,0.01,0.12,20.0,0.12,,Normal,090/198,Uncommon,Psychic,110,Stage 1,[2] Gust (30),Dx2,1,"[PPP] Spread Curses
<br>Put 8 damage counters on your opponent’s Pokemon in any way you like.",F-30
515672,Mimikyu,Mimikyu,https://tcgplayer-cdn.tcgplayer.com/product/515672_200w.jpg,3,23266,https://cpt.tcgcsv.com/sh86,2026-02-10T14:24:49.707,1,,,0.02,0.25,1.95,0.24,,Holofoil,097/193,Holo Rare,Psychic,70,Basic,,Mx2,1,,None
515672,Mimikyu,Mimikyu,https://tcgplayer-cdn.tcgplayer.com/product/515672_200w.jpg,3,23266,https://cpt.tcgcsv.com/sh86,2026-02-10T14:24:49.707,1,,,0.09,0.22,5.0,0.18,,Normal,097/193,Holo Rare,Psychic,70,Basic,,Mx2,1,,None
515673,Marshadow,Marshadow,https://tcgplayer-cdn.tcgplayer.com/product/515673_200w.jpg,3,23266,https://cpt.tcgcsv.com/th86,2023-09-26T20:11:22.367,1,,,0.01,0.18,25.0,0.1,,Holofoil,080/203,Holo Rare,Psychic,80,Basic,"[1] Rapid Hunt 
<br>Search your deck for up to 2 Rapid Strike cards, reveal them, and put them into your hand. Then, shuffle your deck.",Dx2,1,"[1] Shadow Flicker (10)
<br>If the Defending Pokemon is Knocked Out during your next turn, take 1 more Prize card.",F-30
515674,Spectrier,Spectrier,https://tcgplayer-cdn.tcgplayer.com/product/515674_200w.jpg,3,23266,https://cpt.tcgcsv.com/vh86,2023-09-26T20:11:39.34,1,,,0.03,0.2,13.0,0.15,,Holofoil,081/196,Holo Rare,Psychic,120,Basic,"[P] Night Footsteps
<br>
Choose 2 of your opponent's Pokémon and put 2 damage counters on each of them.",Dx2,1,"[1PP] Phantom Strike (120)
<br>
During your next turn, this Pokémon can't use Phantom Strike.",F-30
515675,Sinistea,Sinistea,https://tcgplayer-cdn.tcgplayer.com/product/515675_200w.jpg,3,23266,https://cpt.tcgcsv.com/wh86,2025-11-20T05:28:47.137,1,,,0.01,0.15,1.58,0.1,,Normal,089/202,Common,Psychic,30,Basic,"[1] Teatime
<br>Each player draws 2 cards.",Dx2,1,,F-30
515676,Polteageist,Polteageist,https://tcgplayer-cdn.tcgplayer.com/product/515676_200w.jpg,3,23266,https://cpt.tcgcsv.com/xh86,2025-11-21T16:28:30.773,1,,,0.01,0.15,1.49,0.1,,Normal,090/202,Rare,Psychic,60,Stage 1,"[1] Teatime
<br>Each player draws 2 cards.",Dx2,1,"[1P] Poltergeist (50x)
<br>Your opponent reveals their hand. This attack does 50 damage for each Trainer card you find there.",F-30
515677,Greavard,Greavard,https://tcgplayer-cdn.tcgplayer.com/product/515677_200w.jpg,3,23266,https://cpt.tcgcsv.com/zh86,2023-09-08T18:33:35.617,1,,,0.01,0.1,1.49,0.06,,Normal,104/198,Common,Psychic,70,Basic,"[P] Graveyard Frolic: (10x) 
<br>This attack does 10 damage for each [P] Pokemon in your discard pile.",Dx2,2,,F-30
515678,Houndstone,Houndstone,https://tcgplayer-cdn.tcgplayer.com/product/515678_200w.jpg,3,23266,https://cpt.tcgcsv.com/Bh86,2023-09-26T20:08:58.477,1,,,0.01,0.15,1.49,0.1,,Holofoil,106/198,Rare,Psychic,140,Stage 1,"[PP] Grave Visit (80)
<br>This attack does 10 damage for each [P] Pokemon in your discard pile.",Dx2,3,,F-30
515679,Zubat,Zubat,https://tcgplayer-cdn.tcgplayer.com/product/515679_200w.jpg,3,23266,https://cpt.tcgcsv.com/Ch86,2023-09-08T18:34:22.253,1,,,0.02,0.15,1.0,0.09,,Normal,103/195,Common,Darkness,40,Basic,[D] Bite (10),Fx2,,,
515680,Murkrow,Murkrow,https://tcgplayer-cdn.tcgplayer.com/product/515680_200w.jpg,3,23266,https://cpt.tcgcsv.com/Dh86,2023-09-08T18:34:44.49,1,,,0.01,0.1,20.0,0.08,,Normal,131/193,Common,Dark,60,Basic,"[1] Spin Turn (10)
<br>Switch this Pokémon with 1 of your Benched Pokémon.",Lx2,1,"[D] Unified Wing (20x)
<br>This attack does 20 damage for each Pokémon in your discard pile that has the Unified Wing attack.",F-30
564134,Trick or Trade BOOster Bundle 2023 (120 ct),Trick or Trade BOOster Bundle 2023 120 ct,https://tcgplayer-cdn.tcgplayer.com/product/564134_200w.jpg,3,23266,https://cpt.tcgcsv.com/JGw6,2024-08-19T17:09:20.657,0,"Spooky Surprises Lurk Inside!
<br>Share Pokémon fun and excitement on the spookiest night of the year with a bundle of BOOster packs! Inside you’ll find 120 mini packs, each containing three colorful cards from the Pokémon Trading Card Game.",0820650855047,,,,,,,,,,,,,,,,
