productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,extCardText
152855,Lightning Energy (#8),Lightning Energy 8,https://tcgplayer-cdn.tcgplayer.com/product/152855_200w.jpg,3,2069,https://cpt.tcgcsv.com/79f2,2022-12-14T15:24:54.343,0,0.04,0.21,0.5,0.08,,Normal,8/30,Common,Basic Lightning Energy,,,,,,,,
152856,Lightning Energy (#9),Lightning Energy 9,https://tcgplayer-cdn.tcgplayer.com/product/152856_200w.jpg,3,2069,https://cpt.tcgcsv.com/89f2,2022-12-14T15:25:06.4,0,0.01,0.19,1.0,0.05,,Normal,9/30,Common,Basic Lightning Energy,,,,,,,,
152857,Lightning Energy (#10),Lightning Energy 10,https://tcgplayer-cdn.tcgplayer.com/product/152857_200w.jpg,3,2069,https://cpt.tcgcsv.com/99f2,2022-12-14T15:25:17.91,0,0.04,0.2,0.5,0.04,,Normal,10/30,Common,Basic Lightning Energy,,,,,,,,
152858,Psychic Energy (#20),Psychic Energy 20,https://tcgplayer-cdn.tcgplayer.com/product/152858_200w.jpg,3,2069,https://cpt.tcgcsv.com/b9f2,2022-12-14T15:27:28.463,0,0.04,0.19,0.4,0.04,,Normal,20/30,Common,Basic Psychic Energy,,,,,,,,
152859,Psychic Energy (#24),Psychic Energy 24,https://tcgplayer-cdn.tcgplayer.com/product/152859_200w.jpg,3,2069,https://cpt.tcgcsv.com/c9f2,2022-12-14T15:29:09.3,0,0.04,0.18,1.49,0.1,,Normal,24/30,Common,Basic Psychic Energy,,,,,,,,
152860,Psychic Energy (#27),Psychic Energy 27,https://tcgplayer-cdn.tcgplayer.com/product/152860_200w.jpg,3,2069,https://cpt.tcgcsv.com/d9f2,2022-12-14T15:29:51.227,0,0.04,0.13,0.4,0.1,,Normal,27/30,Common,Basic Psychic Energy,,,,,,,,
152861,Psychic Energy (#28),Psychic Energy 28,https://tcgplayer-cdn.tcgplayer.com/product/152861_200w.jpg,3,2069,https://cpt.tcgcsv.com/f9f2,2022-12-14T15:30:03.697,0,0.01,0.1,0.4,0.09,,Normal,28/30,Common,Basic Psychic Energy,,,,,,,,
152862,Stufful,Stufful,https://tcgplayer-cdn.tcgplayer.com/product/152862_200w.jpg,3,2069,https://cpt.tcgcsv.com/g9f2,2022-12-14T15:23:36.37,0,0.04,0.2,4.0,0.08,,Normal,4/30,Common,Colorless,70,Basic,[2] Tackle (30),,Fx2,None,2,
152863,Golbat,Golbat,https://tcgplayer-cdn.tcgplayer.com/product/152863_200w.jpg,3,2069,https://cpt.tcgcsv.com/h9f2,2022-12-14T15:24:17.67,0,0.04,0.19,4.0,0.15,,Normal,6/30,Uncommon,Psychic,80,Stage 1,"[P] Super Poison Breath
<br>Your opponent's Active Pokemon is now Poisoned.","[2] Acrobatics (10+)
<br>Flip 2 coins. This attack does 20 more damage for each heads.",Lx2,F-20,0,
152864,Zubat,Zubat,https://tcgplayer-cdn.tcgplayer.com/product/152864_200w.jpg,3,2069,https://cpt.tcgcsv.com/j9f2,2026-02-18T21:18:49.38,0,0.02,0.2,4.0,0.13,0.05,Normal,11/30,Common,Psychic,50,Basic,"[P] Astonish
<br>Choose a random card from your opponent's hand. Your opponent reveals that card and shuffles it into their deck.",,Lx2,F-20,1,
152865,Spearow,Spearow,https://tcgplayer-cdn.tcgplayer.com/product/152865_200w.jpg,3,2069,https://cpt.tcgcsv.com/k9f2,2022-12-14T15:26:14.837,0,0.03,0.15,4.0,0.08,,Normal,13/30,Common,Colorless,50,Basic,"[1] Peck Bugs (10+)
<br>If your opponent's Active Pokemon is a Grass Pokemon, this attack does 30 more damage.",,Lx2,F-20,1,
