productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2
89206,Sigilyph,Sigilyph,https://tcgplayer-cdn.tcgplayer.com/product/89206_200w.jpg,3,1394,https://cpt.tcgcsv.com/8JK,2023-01-06T16:57:35.097,1,52/124,Holo Rare,Psychic,90,Basic,"Safeguard - Prevent all effects of attacks, including damage, done to this Pokemon by Pokemon-EX.  (Ability)",[2P] Psychic (50+) Does 10 more damage for each Energy attached to the Defending Pokemon.,Px2,,1,0.4,0.7,2.72,0.97,,Reverse Holofoil,
89214,Silcoon,Silcoon,https://tcgplayer-cdn.tcgplayer.com/product/89214_200w.jpg,3,1394,https://cpt.tcgcsv.com/jJK,2023-01-06T16:42:12.567,1,7/124,Uncommon,Grass,80,Stage 1,,"[1] Harden - During your opponent's next turn, if this Pokemon would be damaged by an attack, prevent that attack's damage done to this Pokemon if that damage is 60 or less.",Rx2,,3,0.1,0.38,1.59,0.38,,Normal,[2G] Bug Bite (40)
89214,Silcoon,Silcoon,https://tcgplayer-cdn.tcgplayer.com/product/89214_200w.jpg,3,1394,https://cpt.tcgcsv.com/jJK,2023-01-06T16:42:12.567,1,7/124,Uncommon,Grass,80,Stage 1,,"[1] Harden - During your opponent's next turn, if this Pokemon would be damaged by an attack, prevent that attack's damage done to this Pokemon if that damage is 60 or less.",Rx2,,3,0.55,1.08,2.3,1.13,,Reverse Holofoil,[2G] Bug Bite (40)
89258,Skiploom,Skiploom,https://tcgplayer-cdn.tcgplayer.com/product/89258_200w.jpg,3,1394,https://cpt.tcgcsv.com/bKK,2024-10-25T11:48:35.87,1,2/124,Uncommon,Grass,60,Stage 1,,[G] Bullet Seed (10x) Flip 4 coins.  This attack does 10 damage times the number of heads.,Rx2,W-20,0,0.09,0.29,3.0,0.31,,Normal,
89258,Skiploom,Skiploom,https://tcgplayer-cdn.tcgplayer.com/product/89258_200w.jpg,3,1394,https://cpt.tcgcsv.com/bKK,2024-10-25T11:48:35.87,1,2/124,Uncommon,Grass,60,Stage 1,,[G] Bullet Seed (10x) Flip 4 coins.  This attack does 10 damage times the number of heads.,Rx2,W-20,0,0.3,0.65,1.86,0.65,,Reverse Holofoil,
89283,Skuntank,Skuntank,https://tcgplayer-cdn.tcgplayer.com/product/89283_200w.jpg,3,1394,https://cpt.tcgcsv.com/HKK,2025-12-04T22:13:51.993,1,77/124,Uncommon,Darkness,90,Stage 1,,"[D] Smogscreen (20) The Defending Pokemon is now Poisoned.  If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin.  If tails, that attack does nothing.",Fx2,P-20,1,0.15,0.31,19.5,0.34,0.2,Normal,[1DD] Hammer In (80)
89283,Skuntank,Skuntank,https://tcgplayer-cdn.tcgplayer.com/product/89283_200w.jpg,3,1394,https://cpt.tcgcsv.com/HKK,2025-12-04T22:13:51.993,1,77/124,Uncommon,Darkness,90,Stage 1,,"[D] Smogscreen (20) The Defending Pokemon is now Poisoned.  If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin.  If tails, that attack does nothing.",Fx2,P-20,1,0.38,1.06,2.0,1.09,,Reverse Holofoil,[1DD] Hammer In (80)
89293,Slaking,Slaking,https://tcgplayer-cdn.tcgplayer.com/product/89293_200w.jpg,3,1394,https://cpt.tcgcsv.com/TKK,2026-02-02T18:20:59.653,1,103/124,Holo Rare,Colorless,150,Stage 2,"Unobservant - If your opponent's Active Pokemon is a Basic Pokemon, this Pokemon can't attack.  (Ability)",[4] Crushing Blow (100) Discard an Energy attached to the Defending Pokemon.,Fx2,,4,0.83,1.28,2.34,1.32,1.26,Holofoil,
89293,Slaking,Slaking,https://tcgplayer-cdn.tcgplayer.com/product/89293_200w.jpg,3,1394,https://cpt.tcgcsv.com/TKK,2026-02-02T18:20:59.653,1,103/124,Holo Rare,Colorless,150,Stage 2,"Unobservant - If your opponent's Active Pokemon is a Basic Pokemon, this Pokemon can't attack.  (Ability)",[4] Crushing Blow (100) Discard an Energy attached to the Defending Pokemon.,Fx2,,4,1.0,1.99,3.97,1.69,,Reverse Holofoil,
89300,Slakoth,Slakoth,https://tcgplayer-cdn.tcgplayer.com/product/89300_200w.jpg,3,1394,https://cpt.tcgcsv.com/0LK,2023-01-06T17:13:14.11,1,101/124,Common,Colorless,60,Basic,,[1] Smack 'n' Slack (10) This Pokemon is now Asleep.,Fx2,,2,0.12,0.34,19.5,0.37,0.23,Normal,
