productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,extResistance,extAttack3,extUPC
85714,Giovanni's Machop,Giovannis Machop,https://tcgplayer-cdn.tcgplayer.com/product/85714_200w.jpg,3,1440,https://cpt.tcgcsv.com/jjJ,2025-11-20T01:34:58.89,1,072/132,Common,Fighting,,1.8,5.04,96.95,5.03,,1st Edition,50,Basic,[1] Chop (10),"[FF] Fury Punch (20x)
<br>Flip a coin. If heads, this attack does 20 damage times the number of damage counters on Giovanni's Machop.",P,1,,,
85714,Giovanni's Machop,Giovannis Machop,https://tcgplayer-cdn.tcgplayer.com/product/85714_200w.jpg,3,1440,https://cpt.tcgcsv.com/jjJ,2025-11-20T01:34:58.89,1,072/132,Common,Fighting,,0.3,0.99,9.99,1.06,0.62,Unlimited,50,Basic,[1] Chop (10),"[FF] Fury Punch (20x)
<br>Flip a coin. If heads, this attack does 20 damage times the number of damage counters on Giovanni's Machop.",P,1,,,
85715,Giovanni's Magikarp,Giovannis Magikarp,https://tcgplayer-cdn.tcgplayer.com/product/85715_200w.jpg,3,1440,https://cpt.tcgcsv.com/kjJ,2022-11-19T15:55:22.753,1,073/132,Common,Water,,6.08,13.84,9999.0,12.26,,1st Edition,30,Basic,"[W] Ancestral Memory (40)
<br>Flip a coin. If tails, this attack does nothing. Either way, you can't use this attack again as long as Giovanni's Magikarp stays in play <em>(even putting Giovanni's Magikarp on the Bench won't let you use it again)</em>.","[1W] Flail Around (10x)
<br>Flip 3 coins. This attack does 10 damage times the number of heads.",L,1,,,
85715,Giovanni's Magikarp,Giovannis Magikarp,https://tcgplayer-cdn.tcgplayer.com/product/85715_200w.jpg,3,1440,https://cpt.tcgcsv.com/kjJ,2022-11-19T15:55:22.753,1,073/132,Common,Water,,1.25,2.95,30142.77,3.18,,Unlimited,30,Basic,"[W] Ancestral Memory (40)
<br>Flip a coin. If tails, this attack does nothing. Either way, you can't use this attack again as long as Giovanni's Magikarp stays in play <em>(even putting Giovanni's Magikarp on the Bench won't let you use it again)</em>.","[1W] Flail Around (10x)
<br>Flip 3 coins. This attack does 10 damage times the number of heads.",L,1,,,
85716,Giovanni's Meowth (43),Giovannis Meowth 43,https://tcgplayer-cdn.tcgplayer.com/product/85716_200w.jpg,3,1440,https://cpt.tcgcsv.com/ljJ,2025-11-26T19:16:47.177,1,043/132,Uncommon,Colorless,,3.57,12.26,20.94,12.16,,1st Edition,40,Basic,"[1] False Charity
<br>Flip a coin. If heads, look at the top card of your opponent's deck. If it's a Trainer card, put it in your opponent's discard pile; otherwise, put it into his or her hand.","[2] Double Scratch (20x)
<br>Flip 2 coins. This attack does 20 damage times the number of heads.",F,1,P-30,,
85716,Giovanni's Meowth (43),Giovannis Meowth 43,https://tcgplayer-cdn.tcgplayer.com/product/85716_200w.jpg,3,1440,https://cpt.tcgcsv.com/ljJ,2025-11-26T19:16:47.177,1,043/132,Uncommon,Colorless,,2.0,2.84,96.95,3.17,3.72,Unlimited,40,Basic,"[1] False Charity
<br>Flip a coin. If heads, look at the top card of your opponent's deck. If it's a Trainer card, put it in your opponent's discard pile; otherwise, put it into his or her hand.","[2] Double Scratch (20x)
<br>Flip 2 coins. This attack does 20 damage times the number of heads.",F,1,P-30,,
85717,Giovanni's Meowth (74),Giovannis Meowth 74,https://tcgplayer-cdn.tcgplayer.com/product/85717_200w.jpg,3,1440,https://cpt.tcgcsv.com/mjJ,2025-11-26T19:15:22.453,1,074/132,Common,Colorless,,3.0,4.99,4321.0,5.05,6.01,1st Edition,50,Basic,"[1] Cat Fleas
<br>Flip a coin. If heads, the Defending Pokémon is now Confused.",[3] Cat Kick (30),F,2,P-30,,
85717,Giovanni's Meowth (74),Giovannis Meowth 74,https://tcgplayer-cdn.tcgplayer.com/product/85717_200w.jpg,3,1440,https://cpt.tcgcsv.com/mjJ,2025-11-26T19:15:22.453,1,074/132,Common,Colorless,,0.53,1.26,3.73,1.59,1.11,Unlimited,50,Basic,"[1] Cat Fleas
<br>Flip a coin. If heads, the Defending Pokémon is now Confused.",[3] Cat Kick (30),F,2,P-30,,
85718,Giovanni's Nidoking,Giovannis Nidoking,https://tcgplayer-cdn.tcgplayer.com/product/85718_200w.jpg,3,1440,https://cpt.tcgcsv.com/njJ,2025-12-02T17:15:36.71,1,007/132,Holo Rare,Grass,,225.37,238.49,276.05,189.25,,1st Edition Holofoil,120,Stage 2,"[G] Intimidate
<br>If the Defending Pokémon's maximum HP is 50 or less, it can't attack Giovanni's Nidoking during your opponent's next turn. <em>(Benching or evolving either Pokémon ends this effect.)</em>","[1GGG] Tumbling Attack (40+)
<br>Flip a coin. If heads, this attack does 40 damage plus 30 more damage; if tails, this attack does 40 damage.",P,3,,,
85718,Giovanni's Nidoking,Giovannis Nidoking,https://tcgplayer-cdn.tcgplayer.com/product/85718_200w.jpg,3,1440,https://cpt.tcgcsv.com/njJ,2025-12-02T17:15:36.71,1,007/132,Holo Rare,Grass,,49.68,73.72,165.0,73.41,68.0,Unlimited Holofoil,120,Stage 2,"[G] Intimidate
<br>If the Defending Pokémon's maximum HP is 50 or less, it can't attack Giovanni's Nidoking during your opponent's next turn. <em>(Benching or evolving either Pokémon ends this effect.)</em>","[1GGG] Tumbling Attack (40+)
<br>Flip a coin. If heads, this attack does 40 damage plus 30 more damage; if tails, this attack does 40 damage.",P,3,,,
85719,Giovanni's Nidoqueen,Giovannis Nidoqueen,https://tcgplayer-cdn.tcgplayer.com/product/85719_200w.jpg,3,1440,https://cpt.tcgcsv.com/pjJ,2022-12-13T17:21:40.173,1,023/132,Rare,Grass,,25.99,49.99,96.95,22.64,96.95,1st Edition,100,Stage 2,[1GG] Mega Kick (40),"[2GG] Love Lariat (50+)
<br>Flip a coin. If heads, this attack does 50 damage plus 50 more damage if you have at least 1 Giovanni's Nidoking on your Bench. If tails, this attack does nothing.",P,3,,,
85719,Giovanni's Nidoqueen,Giovannis Nidoqueen,https://tcgplayer-cdn.tcgplayer.com/product/85719_200w.jpg,3,1440,https://cpt.tcgcsv.com/pjJ,2022-12-13T17:21:40.173,1,023/132,Rare,Grass,,7.0,12.69,25.0,12.42,,Unlimited,100,Stage 2,[1GG] Mega Kick (40),"[2GG] Love Lariat (50+)
<br>Flip a coin. If heads, this attack does 50 damage plus 50 more damage if you have at least 1 Giovanni's Nidoking on your Bench. If tails, this attack does nothing.",P,3,,,
85720,Giovanni's Nidoran F,Giovannis Nidoran F,https://tcgplayer-cdn.tcgplayer.com/product/85720_200w.jpg,3,1440,https://cpt.tcgcsv.com/qjJ,2025-11-29T03:14:58.66,1,075/132,Common,Grass,,1.13,2.07,9.99,2.21,,1st Edition,50,Basic,"[G] Horn Thrust (20)
<br>Flip a coin. If tails, this attack does nothing.","[2] Double-edge (30)
<br>Giovanni's Nidoran F does 20 damage to itself.",P,1,,,
