productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost
85998,Gyarados (#30 Holo),Gyarados 30 Holo,https://tcgplayer-cdn.tcgplayer.com/product/85998_200w.jpg,3,1540,https://cpt.tcgcsv.com/-pJ,2023-12-20T19:38:40.8,1,30/30,Common,Water,,14.01,38.54,45.81,31.13,,Holofoil,130,Stage 1,[2W] Hydro Splash (50),"[2WW] Hyper Beam (80)
<br>Discard an Energy card attached to the Defending Pokemon.",Lx2,F-20,3
86769,Lightning Energy (#5),Lightning Energy 5,https://tcgplayer-cdn.tcgplayer.com/product/86769_200w.jpg,3,1540,https://cpt.tcgcsv.com/pKJ,2023-12-20T15:36:46.873,1,5/30,Common,Basic Energy,,0.45,0.49,0.63,0.55,,Normal,,,,,,,
86770,Lightning Energy (#6),Lightning Energy 6,https://tcgplayer-cdn.tcgplayer.com/product/86770_200w.jpg,3,1540,https://cpt.tcgcsv.com/qKJ,2023-12-20T15:36:53.97,1,6/30,Common,Basic Energy,,0.52,0.85,6.3,0.55,,Normal,,,,,,,
86771,Lightning Energy (#7),Lightning Energy 7,https://tcgplayer-cdn.tcgplayer.com/product/86771_200w.jpg,3,1540,https://cpt.tcgcsv.com/rKJ,2023-12-20T15:37:07.54,1,7/30,Common,Basic Energy,,0.42,0.62,1.24,0.2,,Normal,,,,,,,
86772,Lightning Energy (#8),Lightning Energy 8,https://tcgplayer-cdn.tcgplayer.com/product/86772_200w.jpg,3,1540,https://cpt.tcgcsv.com/sKJ,2023-12-20T15:37:26.807,1,8/30,Common,Basic Energy,,1.59,1.92,2.2,0.25,,Normal,,,,,,,
86773,Lightning Energy (#9),Lightning Energy 9,https://tcgplayer-cdn.tcgplayer.com/product/86773_200w.jpg,3,1540,https://cpt.tcgcsv.com/tKJ,2023-12-20T15:37:37.617,1,9/30,Common,Basic Energy,,0.47,0.88,3.5,0.3,,Normal,,,,,,,
86774,Lightning Energy (#10),Lightning Energy 10,https://tcgplayer-cdn.tcgplayer.com/product/86774_200w.jpg,3,1540,https://cpt.tcgcsv.com/vKJ,2023-12-20T15:40:07.417,1,10/30,Common,Basic Energy,,0.5,3.4,6.3,0.3,,Normal,,,,,,,
86775,Lightning Energy (#11),Lightning Energy 11,https://tcgplayer-cdn.tcgplayer.com/product/86775_200w.jpg,3,1540,https://cpt.tcgcsv.com/wKJ,2023-12-20T15:45:29.8,1,11/30,Common,Basic Energy,,0.69,1.45,6.3,1.32,,Normal,,,,,,,
86776,Lightning Energy (#14),Lightning Energy 14,https://tcgplayer-cdn.tcgplayer.com/product/86776_200w.jpg,3,1540,https://cpt.tcgcsv.com/xKJ,2023-12-20T15:52:22.09,1,14/30,Common,Energy,,0.25,0.35,0.45,0.2,,Normal,,,,,,,
86777,Lightning Energy (#15),Lightning Energy 15,https://tcgplayer-cdn.tcgplayer.com/product/86777_200w.jpg,3,1540,https://cpt.tcgcsv.com/zKJ,2023-12-20T15:52:53.98,1,15/30,Common,Basic Energy,,0.5,3.99,6.3,0.74,,Normal,,,,,,,
