productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extRetreatCost,extAttack2,extResistance,extAttack3
491237,Code Card - Battle Origins Tin [Mewtwo],Code Card Battle Origins Tin Mewtwo,https://tcgplayer-cdn.tcgplayer.com/product/491237_200w.jpg,3,2282,https://cpt.tcgcsv.com/MvX5,2023-04-04T14:51:32.763,1,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",,,,,,,,,Code Card,,,,,,,,,
491239,Code Card - Legends of Unova GX Premium Collection,Code Card Legends of Unova GX Premium Collection,https://tcgplayer-cdn.tcgplayer.com/product/491239_200w.jpg,3,2282,https://cpt.tcgcsv.com/PvX5,2023-06-20T18:47:17.833,1,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",,5.0,5.0,5.0,,,Normal,,Code Card,,,,,,,,,
492140,Startling Megaphone - 2016 (Shintaro Ito),Startling Megaphone 2016 Shintaro Ito,https://tcgplayer-cdn.tcgplayer.com/product/492140_200w.jpg,3,2282,https://cpt.tcgcsv.com/QSX5,2024-09-23T19:33:30.71,0,"Discard all Pokémon Tool cards attached to each of your opponent's Pokémon.
<br><br>
You may play as many Item cards as you like during your turn <em>(before your attack)</em>.",,0.35,0.93,1.0,0.93,,Normal,97/106,Uncommon,Item,,,,,,,,
496354,Hisuian Decidueye V - 2022 (Ondrej Skubal),Hisuian Decidueye V 2022 Ondrej Skubal,https://tcgplayer-cdn.tcgplayer.com/product/496354_200w.jpg,3,2282,https://cpt.tcgcsv.com/6z-5,2024-09-23T19:33:30.98,1,,,0.38,0.8,3.99,0.77,,Normal,083/189,Ultra Rare,Fighting,220,Basic,"[F] Mountain Hunt
<br>Search your deck for up to 2 cards and put them into your hand. Then, shuffle your deck.",Px2,2,"[2F] Close-Quarters Shooting (100)
<br>This attack's damage isn't affected by any effects on your opponent's Active Pokémon.",None,
497147,Ultra Ball - 2016 (Jesper Eriksen),Ultra Ball 2016 Jesper Eriksen,https://tcgplayer-cdn.tcgplayer.com/product/497147_200w.jpg,3,2282,https://cpt.tcgcsv.com/ZS-5,2024-09-23T19:33:31.31,0,"Discard 2 cards from your hand. (If you can't discard 2 cards, you can't play this card.) Search your deck for a Pokémon, reveal it, and put it into your hand. Shuffle your deck afterward.
<br>
You may play as many Item cards as you like during your turn <em>(before your attack)</em>.",,0.45,0.74,1.99,0.67,,Normal,113/124,Uncommon,Item,,,,,,,,
514538,Switch - 2012 (Zachary Bokhari),Switch 2012 Zachary Bokhari,https://tcgplayer-cdn.tcgplayer.com/product/514538_200w.jpg,3,2282,https://cpt.tcgcsv.com/NQ76,2024-09-23T19:33:31.717,0,"Switch your Active Pokémon with 1 of your Benched Pokémon.
<br><br>
You may play as many Item cards as you like during your turn <em>(before your attack)</em>.",,0.25,1.0,3.0,,,Normal,104/114,Common,Item,,,,,,,,
528163,Great Ball - 2006 (Miska Saari),Great Ball 2006 Miska Saari,https://tcgplayer-cdn.tcgplayer.com/product/528163_200w.jpg,3,2282,https://cpt.tcgcsv.com/hhf6,2024-09-23T19:33:32.067,1,Search your deck for a Basic Pokémon (excluding Pokémon-ex) and put it onto your Bench. Shuffle your deck afterward.,,0.29,0.4,0.75,0.4,,Normal,90/113,Uncommon,Item,,,,,,,,
530347,Fighting Energy - 2012 (Zachary Bokhari),Fighting Energy 2012 Zachary Bokhari,https://tcgplayer-cdn.tcgplayer.com/product/530347_200w.jpg,3,2282,https://cpt.tcgcsv.com/Z8g6,2024-09-23T19:33:32.383,0,,,0.5,3.42,6.33,,,Normal,,Common,Basic Energy,,,,,,,,
532027,2023 World Championship Deck [Set of 4],2023 World Championship Deck Set of 4,https://tcgplayer-cdn.tcgplayer.com/product/532027_200w.jpg,3,2282,https://cpt.tcgcsv.com/zQg6,2024-03-01T05:03:10.773,1,"Grab a World Championships deck and play like a champion! Choose one of four powerful decks, each a card-for-card replica of an actual title-contender’s deck from the 2023 Pokémon Trading Card Game World Championships!
<br>
Each 2023 Pokémon TCG World Championships Deck includes:
<br>
<br>
• 60-card World Championships Deck
<br>
• 2023 World Championships booklet
<br>
• Special 2023 World Championships pin
<br>
• 2023 World Championships coin
<br>
• 2023 World Championships deck box
<br>
• A playmat and poster
<br>
• A code card for Pokémon Trading Card Game Live",,97.0,97.0,100.0,57.98,,Normal,,,,,,,,,,,
532028,2023 World Championship Deck: Gabriel Fernandez (Colorless Lugia),2023 World Championship Deck Gabriel Fernandez Colorless Lugia,https://tcgplayer-cdn.tcgplayer.com/product/532028_200w.jpg,3,2282,https://cpt.tcgcsv.com/BQg6,2024-03-01T17:54:23.54,1,"PLAY LIKE A CHAMPION!
<br>Grab a World Championships deck and play like a champion! Choose one of four powerful decks, each a card-for-card replica of an actual title-contender's deck from the 2023 Pokémon Trading Card Game World Championships!
<br><br>

Each 2023 Pokemon TCG World Championships Deck includes:
<br>• 60-card World Championships Deck
<br>• 2023 World Championships booklet
<br>• Special 2023 World Championships pin
<br>• 2023 World Championships coin
<br>• 2023 World Championships deck box
<br>• A playmat and poster
<br>• A code card for Pokémon Trading Card Game Live",,20.28,22.23,49.99,21.01,,Normal,,,,,,,,,,,
532029,2023 World Championship Deck: Vance Kelley (Mew's Revenge),2023 World Championship Deck Vance Kelley Mews Revenge,https://tcgplayer-cdn.tcgplayer.com/product/532029_200w.jpg,3,2282,https://cpt.tcgcsv.com/CQg6,2024-03-01T17:53:51.593,1,"PLAY LIKE A CHAMPION!
<br>Grab a World Championships deck and play like a champion! Choose one of four powerful decks, each a card-for-card replica of an actual title-contender's deck from the 2023 Pokémon Trading Card Game World Championships!
<br><br>

Each 2023 Pokemon TCG World Championships Deck includes:
<br>• 60-card World Championships Deck
<br>• 2023 World Championships booklet
<br>• Special 2023 World Championships pin
<br>• 2023 World Championships coin
<br>• 2023 World Championships deck box
<br>• A playmat and poster
<br>• A code card for Pokémon Trading Card Game Live",,22.97,36.58,49.99,23.16,,Normal,,,,,,,,,,,
532030,2023 World Championship Deck: Tord Reklev (Psychic Elegance),2023 World Championship Deck Tord Reklev Psychic Elegance,https://tcgplayer-cdn.tcgplayer.com/product/532030_200w.jpg,3,2282,https://cpt.tcgcsv.com/DQg6,2024-03-01T17:54:06.963,1,"PLAY LIKE A CHAMPION!
<br>Grab a World Championships deck and play like a champion! Choose one of four powerful decks, each a card-for-card replica of an actual title-contender's deck from the 2023 Pokémon Trading Card Game World Championships!
<br><br>

Each 2023 Pokemon TCG World Championships Deck includes:
<br>• 60-card World Championships Deck
<br>• 2023 World Championships booklet
<br>• Special 2023 World Championships pin
<br>• 2023 World Championships coin
<br>• 2023 World Championships deck box
<br>• A playmat and poster
<br>• A code card for Pokémon Trading Card Game Live",,13.91,18.47,49.99,17.38,,Normal,,,,,,,,,,,
532031,2023 World Championship Deck: Shao Tong Yen (Lost Box Kyogre),2023 World Championship Deck Shao Tong Yen Lost Box Kyogre,https://tcgplayer-cdn.tcgplayer.com/product/532031_200w.jpg,3,2282,https://cpt.tcgcsv.com/FQg6,2024-03-01T17:53:34.81,1,"PLAY LIKE A CHAMPION!
<br>Grab a World Championships deck and play like a champion! Choose one of four powerful decks, each a card-for-card replica of an actual title-contender's deck from the 2023 Pokémon Trading Card Game World Championships!
<br><br>

Each 2023 Pokemon TCG World Championships Deck includes:
<br>• 60-card World Championships Deck
<br>• 2023 World Championships booklet
<br>• Special 2023 World Championships pin
<br>• 2023 World Championships coin
<br>• 2023 World Championships deck box
<br>• A playmat and poster
<br>• A code card for Pokémon Trading Card Game Live",,13.99,18.71,49.99,17.31,,Normal,,,,,,,,,,,
532032,Code Card - 2023 World Championship Deck: Gabriel Fernandez (Colorless Lugia),Code Card 2023 World Championship Deck Gabriel Fernandez Colorless Lugia,https://tcgplayer-cdn.tcgplayer.com/product/532032_200w.jpg,3,2282,https://cpt.tcgcsv.com/GQg6,2024-03-01T05:03:10.773,1,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",,,,,,,,,Code Card,,,,,,,,,
532033,Code Card - 2023 World Championship Deck: Vance Kelley (Mew's Revenge),Code Card 2023 World Championship Deck Vance Kelley Mews Revenge,https://tcgplayer-cdn.tcgplayer.com/product/532033_200w.jpg,3,2282,https://cpt.tcgcsv.com/HQg6,2024-03-01T05:03:10.773,1,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",,,,,,,,,Code Card,,,,,,,,,
