productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extRetreatCost,extAttack2,extResistance
86990,Machop,Machop,https://tcgplayer-cdn.tcgplayer.com/product/86990_200w.jpg,3,1374,https://cpt.tcgcsv.com/QPJ,2025-11-24T21:45:50.057,1,079/110,Common,Fighting,50,Basic,[2] Punch (20),P,0.23,0.54,9.99,0.54,,Normal,,1,[2F] Kick (30),
86990,Machop,Machop,https://tcgplayer-cdn.tcgplayer.com/product/86990_200w.jpg,3,1374,https://cpt.tcgcsv.com/QPJ,2025-11-24T21:45:50.057,1,079/110,Common,Fighting,50,Basic,[2] Punch (20),P,49.99,49.99,49.99,65.0,,Reverse Holofoil,,1,[2F] Kick (30),
87022,Magikarp,Magikarp,https://tcgplayer-cdn.tcgplayer.com/product/87022_200w.jpg,3,1374,https://cpt.tcgcsv.com/sQJ,2025-11-24T21:46:47.59,1,052/110,Uncommon,Water,30,Basic,[1] Tackle (10),L,1.35,2.65,12.84,4.0,,Normal,,1,"[W] Flail (10x)
<br>Does 10 damage times the number of damage counters on Magikarp.",
87022,Magikarp,Magikarp,https://tcgplayer-cdn.tcgplayer.com/product/87022_200w.jpg,3,1374,https://cpt.tcgcsv.com/sQJ,2025-11-24T21:46:47.59,1,052/110,Uncommon,Water,30,Basic,[1] Tackle (10),L,157.3,899.99,956.08,225.0,,Reverse Holofoil,,1,"[W] Flail (10x)
<br>Does 10 damage times the number of damage counters on Magikarp.",
87070,Magnemite,Magnemite,https://tcgplayer-cdn.tcgplayer.com/product/87070_200w.jpg,3,1374,https://cpt.tcgcsv.com/qRJ,2022-11-29T19:17:13.013,1,080/110,Common,Lightning,40,Basic,"[L] Thunder Wave (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",F,0.17,0.5,3.0,0.66,,Normal,,1,"[1L] Selfdestruct (40)
<br>
Does 10 damage to each Pokémon on each player's Bench. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",
87070,Magnemite,Magnemite,https://tcgplayer-cdn.tcgplayer.com/product/87070_200w.jpg,3,1374,https://cpt.tcgcsv.com/qRJ,2022-11-29T19:17:13.013,1,080/110,Common,Lightning,40,Basic,"[L] Thunder Wave (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",F,75.95,93.25,99.99,59.95,,Reverse Holofoil,,1,"[1L] Selfdestruct (40)
<br>
Does 10 damage to each Pokémon on each player's Bench. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",
87099,Magneton,Magneton,https://tcgplayer-cdn.tcgplayer.com/product/87099_200w.jpg,3,1374,https://cpt.tcgcsv.com/_RJ,2025-11-24T21:47:12.98,1,028/110,Rare,Lightning,80,Stage 1,"[1L] Sonicboom (20)
<br>Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em>",F,1.0,2.1,3.73,2.57,,Normal,,2,"[LLLL] Selfdestruct (100)
<br>Does 20 damage to each Pokémon on each player's Bench. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em> Magneton does 100 damage to itself.",
87099,Magneton,Magneton,https://tcgplayer-cdn.tcgplayer.com/product/87099_200w.jpg,3,1374,https://cpt.tcgcsv.com/_RJ,2025-11-24T21:47:12.98,1,028/110,Rare,Lightning,80,Stage 1,"[1L] Sonicboom (20)
<br>Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em>",F,40.0,104.49,110.0,138.0,,Reverse Holofoil,,2,"[LLLL] Selfdestruct (100)
<br>Does 20 damage to each Pokémon on each player's Bench. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em> Magneton does 100 damage to itself.",
87171,Mankey,Mankey,https://tcgplayer-cdn.tcgplayer.com/product/87171_200w.jpg,3,1374,https://cpt.tcgcsv.com/rTJ,2025-09-24T20:24:23.99,1,081/110,Common,Fighting,30,Basic,"[1] Mischief
<br>
Shuffle your opponent's deck.",P,0.13,0.47,3.0,0.48,,Normal,,,"[1F] Anger (20+)
<br>
Flip a coin. If heads, this attack does 20 damage plus 20 more damage; if tails, this attack does 20 damage.",
87171,Mankey,Mankey,https://tcgplayer-cdn.tcgplayer.com/product/87171_200w.jpg,3,1374,https://cpt.tcgcsv.com/rTJ,2025-09-24T20:24:23.99,1,081/110,Common,Fighting,30,Basic,"[1] Mischief
<br>
Shuffle your opponent's deck.",P,80.49,85.25,90.0,90.0,,Reverse Holofoil,,,"[1F] Anger (20+)
<br>
Flip a coin. If heads, this attack does 20 damage plus 20 more damage; if tails, this attack does 20 damage.",
87311,Meowth,Meowth,https://tcgplayer-cdn.tcgplayer.com/product/87311_200w.jpg,3,1374,https://cpt.tcgcsv.com/fXJ,2022-11-29T19:22:51.303,1,053/110,Uncommon,Colorless,50,Basic,"[2] Pay Day (10)
<br>Flip a coin. If heads, draw a card.",F,1.33,1.88,8.0,1.8,,Normal,,1,,P-30
