productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extWeakness,extResistance,extRetreatCost,extCardText
85774,Gliscor,Gliscor,https://tcgplayer-cdn.tcgplayer.com/product/85774_200w.jpg,3,1403,https://cpt.tcgcsv.com/vkJ,2025-12-11T03:46:19.557,1,4/90,Holo Rare,Fighting,90,Stage 1,"[F] Ninja Fang (30) If, before Gliscor does damage, the Defending Pokemon has no damage counters on it and is then damaged by this attack (after applying Weakness and Resistance), the Defending Pokemon is now Paralyzed.",3.29,5.99,10.99,5.87,,Holofoil,[2F] Poison Jab (50) The Defending Pokemon is now Poisoned.,Wx2,L-20,1,
85774,Gliscor,Gliscor,https://tcgplayer-cdn.tcgplayer.com/product/85774_200w.jpg,3,1403,https://cpt.tcgcsv.com/vkJ,2025-12-11T03:46:19.557,1,4/90,Holo Rare,Fighting,90,Stage 1,"[F] Ninja Fang (30) If, before Gliscor does damage, the Defending Pokemon has no damage counters on it and is then damaged by this attack (after applying Weakness and Resistance), the Defending Pokemon is now Paralyzed.",5.69,7.34,8.99,6.75,,Reverse Holofoil,[2F] Poison Jab (50) The Defending Pokemon is now Poisoned.,Wx2,L-20,1,
85786,Gloom,Gloom,https://tcgplayer-cdn.tcgplayer.com/product/85786_200w.jpg,3,1403,https://cpt.tcgcsv.com/LkJ,2023-04-30T13:46:29.227,1,27/90,Uncommon,Grass,80,Stage 1,"[1G] Miracle Powder (30) Flip a coin.  If heads, choose 1 Special Condition.  The Defending Pokemon is now affected by that Special Condition.",0.1,0.46,3.24,0.91,,Normal,,Px2,,1,
85786,Gloom,Gloom,https://tcgplayer-cdn.tcgplayer.com/product/85786_200w.jpg,3,1403,https://cpt.tcgcsv.com/LkJ,2023-04-30T13:46:29.227,1,27/90,Uncommon,Grass,80,Stage 1,"[1G] Miracle Powder (30) Flip a coin.  If heads, choose 1 Special Condition.  The Defending Pokemon is now affected by that Special Condition.",1.43,2.0,4321.0,2.22,,Reverse Holofoil,,Px2,,1,
85913,Grimer,Grimer,https://tcgplayer-cdn.tcgplayer.com/product/85913_200w.jpg,3,1403,https://cpt.tcgcsv.com/hnJ,2025-11-11T05:10:29.18,1,50/90,Common,Psychic,60,Basic,"[P] Sticky Liquid - During your opponent's next turn, the Defending Pokemon's Retreat Cost is 1 more.",0.04,0.3,3.5,0.31,0.29,Normal,[2] Sludge Toss (20),Px2,,2,
85913,Grimer,Grimer,https://tcgplayer-cdn.tcgplayer.com/product/85913_200w.jpg,3,1403,https://cpt.tcgcsv.com/hnJ,2025-11-11T05:10:29.18,1,50/90,Common,Psychic,60,Basic,"[P] Sticky Liquid - During your opponent's next turn, the Defending Pokemon's Retreat Cost is 1 more.",5.0,6.0,10.06,3.67,,Reverse Holofoil,[2] Sludge Toss (20),Px2,,2,
86016,Hariyama,Hariyama,https://tcgplayer-cdn.tcgplayer.com/product/86016_200w.jpg,3,1403,https://cpt.tcgcsv.com/lqJ,2023-04-10T13:54:08.087,1,14/90,Rare,Fighting,100,Stage 1,[2F] Hammer In (60),4.75,5.0,5.0,1.95,,Normal,"[2FF] Backward Belt Throw (80+) You may do 80 damage plus 20 more damage.  If you do, Hariyama does 20 damage to itself.",Px2,,3,
86016,Hariyama,Hariyama,https://tcgplayer-cdn.tcgplayer.com/product/86016_200w.jpg,3,1403,https://cpt.tcgcsv.com/lqJ,2023-04-10T13:54:08.087,1,14/90,Rare,Fighting,100,Stage 1,[2F] Hammer In (60),6.29,25.0,25.0,9.8,,Reverse Holofoil,"[2FF] Backward Belt Throw (80+) You may do 80 damage plus 20 more damage.  If you do, Hariyama does 20 damage to itself.",Px2,,3,
86095,Hitmonchan,Hitmonchan,https://tcgplayer-cdn.tcgplayer.com/product/86095_200w.jpg,3,1403,https://cpt.tcgcsv.com/WrJ,2025-11-11T05:09:38.963,1,51/90,Common,Fighting,70,Basic,"[1] Detect - Flip a coin.  If heads, prevent all effects of an attack, including damage, done to Hitmonchan during your opponent's next turn.",0.15,0.4,1.08,0.38,0.4,Normal,[1F] Sky Uppercut (30) This attack's damage isn't affected by Resistance.,Px2,,1,
86095,Hitmonchan,Hitmonchan,https://tcgplayer-cdn.tcgplayer.com/product/86095_200w.jpg,3,1403,https://cpt.tcgcsv.com/WrJ,2025-11-11T05:09:38.963,1,51/90,Common,Fighting,70,Basic,"[1] Detect - Flip a coin.  If heads, prevent all effects of an attack, including damage, done to Hitmonchan during your opponent's next turn.",0.93,1.04,2.99,1.31,,Reverse Holofoil,[1F] Sky Uppercut (30) This attack's damage isn't affected by Resistance.,Px2,,1,
