productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extAttack3,extUPC
84004,Bronzor (34),Bronzor 34,https://tcgplayer-cdn.tcgplayer.com/product/84004_200w.jpg,3,1391,https://cpt.tcgcsv.com/6DH,2023-11-14T21:39:59.273,1,34/99,Uncommon,Metal,50,Basic,,[M] Speed Dive (10),R+10,P-20,2,0.14,0.35,1.51,0.3,,Normal,"[3] Extrasensory (30+) If you have the same number of cards in your hand as your opponent, this attack does 30 damage plus 30 more damage.",,
84004,Bronzor (34),Bronzor 34,https://tcgplayer-cdn.tcgplayer.com/product/84004_200w.jpg,3,1391,https://cpt.tcgcsv.com/6DH,2023-11-14T21:39:59.273,1,34/99,Uncommon,Metal,50,Basic,,[M] Speed Dive (10),R+10,P-20,2,0.4,1.0,2.0,0.99,,Reverse Holofoil,"[3] Extrasensory (30+) If you have the same number of cards in your hand as your opponent, this attack does 30 damage plus 30 more damage.",,
84005,Bronzor (54),Bronzor 54,https://tcgplayer-cdn.tcgplayer.com/product/84005_200w.jpg,3,1391,https://cpt.tcgcsv.com/7DH,2023-11-14T21:43:37.68,1,54/99,Common,Metal,60,Basic,,"[M] Hypnosis (10) Flip a coin.  If heads, the Defending Pokemon is now Asleep.",R+10,P-20,2,0.1,0.3,1.0,0.35,,Normal,[2] Spinning Attack (20),,
84005,Bronzor (54),Bronzor 54,https://tcgplayer-cdn.tcgplayer.com/product/84005_200w.jpg,3,1391,https://cpt.tcgcsv.com/7DH,2023-11-14T21:43:37.68,1,54/99,Common,Metal,60,Basic,,"[M] Hypnosis (10) Flip a coin.  If heads, the Defending Pokemon is now Asleep.",R+10,P-20,2,0.44,1.05,4.89,1.76,,Reverse Holofoil,[2] Spinning Attack (20),,
84014,Buffer Piece,Buffer Piece,https://tcgplayer-cdn.tcgplayer.com/product/84014_200w.jpg,3,1391,https://cpt.tcgcsv.com/jDH,2023-11-14T21:49:05.703,1,84/99,Uncommon,Item,0,Tool,"Attach Buffer Piece to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.  If that Pokemon is Knocked Out, discard this card.","Any damage done to the Pokemon this card is attached to by an opponent's attack is reduced by 20 (after applying Weakness and Resistance).  At the end of your opponent's turn after you played Buffer Piece, discard Buffer Piece.",,,,0.05,0.25,1.25,0.23,0.1,Normal,,,
84014,Buffer Piece,Buffer Piece,https://tcgplayer-cdn.tcgplayer.com/product/84014_200w.jpg,3,1391,https://cpt.tcgcsv.com/jDH,2023-11-14T21:49:05.703,1,84/99,Uncommon,Item,0,Tool,"Attach Buffer Piece to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.  If that Pokemon is Knocked Out, discard this card.","Any damage done to the Pokemon this card is attached to by an opponent's attack is reduced by 20 (after applying Weakness and Resistance).  At the end of your opponent's turn after you played Buffer Piece, discard Buffer Piece.",,,,0.19,0.62,1.79,0.58,,Reverse Holofoil,,,
84044,Buneary,Buneary,https://tcgplayer-cdn.tcgplayer.com/product/84044_200w.jpg,3,1391,https://cpt.tcgcsv.com/VDH,2026-02-17T17:21:28.617,1,55/99,Common,Colorless,50,Basic,,[1] Bunny Hop - Choose 1 of your opponent's Pokemon that doesn't have any damage counters on it.  This attack does 20 damage to that Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.,F+10,,1,0.1,0.35,2.53,0.4,,Normal,,,
84044,Buneary,Buneary,https://tcgplayer-cdn.tcgplayer.com/product/84044_200w.jpg,3,1391,https://cpt.tcgcsv.com/VDH,2026-02-17T17:21:28.617,1,55/99,Common,Colorless,50,Basic,,[1] Bunny Hop - Choose 1 of your opponent's Pokemon that doesn't have any damage counters on it.  This attack does 20 damage to that Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.,F+10,,1,2.8,4.29,39.98,2.17,,Reverse Holofoil,,,
84051,Burmy Plant Cloak,Burmy Plant Cloak,https://tcgplayer-cdn.tcgplayer.com/product/84051_200w.jpg,3,1391,https://cpt.tcgcsv.com/2FH,2023-11-14T21:43:54.42,1,56/99,Common,Grass,40,Basic,Cloak Evolution - Burmy Plant Cloak can evolve during the turn you play it.  (Poke-BODY),[1G] Tackle (20),R+10,,1,0.1,0.3,5.0,0.31,,Normal,,,
84051,Burmy Plant Cloak,Burmy Plant Cloak,https://tcgplayer-cdn.tcgplayer.com/product/84051_200w.jpg,3,1391,https://cpt.tcgcsv.com/2FH,2023-11-14T21:43:54.42,1,56/99,Common,Grass,40,Basic,Cloak Evolution - Burmy Plant Cloak can evolve during the turn you play it.  (Poke-BODY),[1G] Tackle (20),R+10,,1,1.0,1.42,2.66,1.48,,Reverse Holofoil,,,
