productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extCardType
84731,Deino (75),Deino 75,https://tcgplayer-cdn.tcgplayer.com/product/84731_200w.jpg,3,1382,https://cpt.tcgcsv.com/FVH,2023-01-10T16:10:08.67,1,75/116,Common,60,Basic,[1D] Push Down (20) Your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon.,[2D] Bite (30),Fx2,P-20,2,0.12,0.33,5.0,0.32,0.29,Normal,,
84731,Deino (75),Deino 75,https://tcgplayer-cdn.tcgplayer.com/product/84731_200w.jpg,3,1382,https://cpt.tcgcsv.com/FVH,2023-01-10T16:10:08.67,1,75/116,Common,60,Basic,[1D] Push Down (20) Your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon.,[2D] Bite (30),Fx2,P-20,2,0.48,0.8,6.0,0.83,,Reverse Holofoil,,
84732,Deino (76),Deino 76,https://tcgplayer-cdn.tcgplayer.com/product/84732_200w.jpg,3,1382,https://cpt.tcgcsv.com/GVH,2025-02-05T21:12:08.147,1,76/116,Common,60,Basic,[2] Slam (20x) Flip 2 coins.  This attack does 20 damage times the number of heads.,,Fx2,P-20,2,0.07,0.27,1.5,0.26,,Normal,,
84732,Deino (76),Deino 76,https://tcgplayer-cdn.tcgplayer.com/product/84732_200w.jpg,3,1382,https://cpt.tcgcsv.com/GVH,2025-02-05T21:12:08.147,1,76/116,Common,60,Basic,[2] Slam (20x) Flip 2 coins.  This attack does 20 damage times the number of heads.,,Fx2,P-20,2,0.33,0.79,3.0,0.83,0.78,Reverse Holofoil,,
84775,Deoxys EX (Team Plasma),Deoxys EX Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/84775_200w.jpg,3,1382,https://cpt.tcgcsv.com/wWH,2023-01-10T16:03:01.383,1,53/116,Ultra Rare,170,Basic,"[1P] Helix Force (30+) If this Pokemon has any Plasma Energy attached to it, this attack does 30 more damage for each Energy attached to the Defending Pokemon.",,Px2,,2,14.94,17.29,34.65,27.6,,Holofoil,Power Connect - Your Team Plasma Pokemon's attacks (excluding Deoxys-EX) do 10 more damage to the Active Pokemon (before applying Weakness and Resistance).  (Ability),
84777,Deoxys EX (Team Plasma) (Full Art),Deoxys EX Team Plasma Full Art,https://tcgplayer-cdn.tcgplayer.com/product/84777_200w.jpg,3,1382,https://cpt.tcgcsv.com/zWH,2023-01-10T16:15:39.4,1,111/116,Ultra Rare,170,Basic,"[1P] Helix Force (30+) If this Pokemon has any Plasma Energy attached to it, this attack does 30 more damage for each Energy attached to the Defending Pokemon.",,Px2,,2,374.99,734.31,888.98,395.0,888.98,Holofoil,Power Connect - Your Team Plasma Pokemon's attacks (excluding Deoxys-EX) do 10 more damage to the Active Pokemon (before applying Weakness and Resistance).  (Ability),Psychic
84904,Dragonair,Dragonair,https://tcgplayer-cdn.tcgplayer.com/product/84904_200w.jpg,3,1382,https://cpt.tcgcsv.com/6-H,2023-01-10T16:11:35.137,1,82/116,Uncommon,70,Stage 1,"[L] Wrap (20) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",[2G] Tail Smack (50),Ox2,,1,1.0,1.48,4.99,1.51,1.79,Normal,,
84904,Dragonair,Dragonair,https://tcgplayer-cdn.tcgplayer.com/product/84904_200w.jpg,3,1382,https://cpt.tcgcsv.com/6-H,2023-01-10T16:11:35.137,1,82/116,Uncommon,70,Stage 1,"[L] Wrap (20) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",[2G] Tail Smack (50),Ox2,,1,4.19,6.08,15.0,7.15,,Reverse Holofoil,,
84916,Dragonite,Dragonite,https://tcgplayer-cdn.tcgplayer.com/product/84916_200w.jpg,3,1382,https://cpt.tcgcsv.com/l-H,2026-01-06T16:49:40.007,1,83/116,Holo Rare,150,Stage 2,[3] Deafen (60) Your opponent can't play any Item cards from his or her hand during his or her next turn.,[2GL] Healwing (90) Heal 30 damage from this Pokemon.,Ox2,,3,10.0,17.99,99.99,17.94,16.39,Holofoil,,
84916,Dragonite,Dragonite,https://tcgplayer-cdn.tcgplayer.com/product/84916_200w.jpg,3,1382,https://cpt.tcgcsv.com/l-H,2026-01-06T16:49:40.007,1,83/116,Holo Rare,150,Stage 2,[3] Deafen (60) Your opponent can't play any Item cards from his or her hand during his or her next turn.,[2GL] Healwing (90) Heal 30 damage from this Pokemon.,Ox2,,3,25.41,32.46,50.0,29.04,29.95,Reverse Holofoil,,
