productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extResistance,extCardText
232328,Tepig - 13/25,Tepig 13 25,https://tcgplayer-cdn.tcgplayer.com/product/232328_200w.jpg,3,2782,https://cpt.tcgcsv.com/BXS2,2025-10-31T19:09:36.33,1,013/025,Promo,Fire,70,Basic,"[1R] Ember (30)
<br>Discard an Energy attached to this Pokémon.",Wx2,2,0.19,0.37,5.0,0.34,0.24,Normal,,,
232328,Tepig - 13/25,Tepig 13 25,https://tcgplayer-cdn.tcgplayer.com/product/232328_200w.jpg,3,2782,https://cpt.tcgcsv.com/BXS2,2025-10-31T19:09:36.33,1,013/025,Promo,Fire,70,Basic,"[1R] Ember (30)
<br>Discard an Energy attached to this Pokémon.",Wx2,2,0.5,1.11,5.0,1.04,,Holofoil,,,
232329,Fennekin - 14/25,Fennekin 14 25,https://tcgplayer-cdn.tcgplayer.com/product/232329_200w.jpg,3,2782,https://cpt.tcgcsv.com/CXS2,2025-10-31T19:09:36.713,1,014/025,Promo,Fire,60,Basic,[R] Scratch (10),Wx2,1,0.09,1.0,24.25,0.94,,Holofoil,[1R] Live Coal (20),,
232329,Fennekin - 14/25,Fennekin 14 25,https://tcgplayer-cdn.tcgplayer.com/product/232329_200w.jpg,3,2782,https://cpt.tcgcsv.com/CXS2,2025-10-31T19:09:36.713,1,014/025,Promo,Fire,60,Basic,[R] Scratch (10),Wx2,1,0.13,0.33,3.39,0.33,,Normal,[1R] Live Coal (20),,
232330,Scorbunny - 16/25,Scorbunny 16 25,https://tcgplayer-cdn.tcgplayer.com/product/232330_200w.jpg,3,2782,https://cpt.tcgcsv.com/DXS2,2025-10-31T19:09:36.65,1,016/025,Promo,Fire,60,Basic,"[R] Super Singe (10)
<br>Flip a coin. If heads, your opponent's Active Pokémon is now Burned.",Wx2,1,0.11,0.35,7.75,0.31,,Normal,,,
232330,Scorbunny - 16/25,Scorbunny 16 25,https://tcgplayer-cdn.tcgplayer.com/product/232330_200w.jpg,3,2782,https://cpt.tcgcsv.com/DXS2,2025-10-31T19:09:36.65,1,016/025,Promo,Fire,60,Basic,"[R] Super Singe (10)
<br>Flip a coin. If heads, your opponent's Active Pokémon is now Burned.",Wx2,1,0.3,1.08,5.0,1.01,0.65,Holofoil,,,
232331,Squirtle - 17/25,Squirtle 17 25,https://tcgplayer-cdn.tcgplayer.com/product/232331_200w.jpg,3,2782,https://cpt.tcgcsv.com/FXS2,2025-11-25T03:12:43.593,1,017/025,Promo,Water,60,Basic,"[W] Bubble (10)
<br>Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Gx2,1,2.77,4.11,7.59,3.63,,Holofoil,,,
232331,Squirtle - 17/25,Squirtle 17 25,https://tcgplayer-cdn.tcgplayer.com/product/232331_200w.jpg,3,2782,https://cpt.tcgcsv.com/FXS2,2025-11-25T03:12:43.593,1,017/025,Promo,Water,60,Basic,"[W] Bubble (10)
<br>Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Gx2,1,0.35,1.07,20.0,1.15,1.15,Normal,,,
232332,Totodile - 18/25,Totodile 18 25,https://tcgplayer-cdn.tcgplayer.com/product/232332_200w.jpg,3,2782,https://cpt.tcgcsv.com/GXS2,2025-10-31T19:09:35.383,1,018/025,Promo,Water,60,Basic,"[W] Fury Strikes (10x)
<br>Flip 3 coins. This attack does 10 damage times the number of heads.",Gx2,1,0.27,0.5,5.0,0.47,,Normal,,,
232332,Totodile - 18/25,Totodile 18 25,https://tcgplayer-cdn.tcgplayer.com/product/232332_200w.jpg,3,2782,https://cpt.tcgcsv.com/GXS2,2025-10-31T19:09:35.383,1,018/025,Promo,Water,60,Basic,"[W] Fury Strikes (10x)
<br>Flip 3 coins. This attack does 10 damage times the number of heads.",Gx2,1,0.99,2.4,96.95,2.4,2.4,Holofoil,,,
232333,Mudkip - 19/25,Mudkip 19 25,https://tcgplayer-cdn.tcgplayer.com/product/232333_200w.jpg,3,2782,https://cpt.tcgcsv.com/HXS2,2025-10-31T19:09:36.79,1,019/025,Promo,Water,60,Basic,[W] Tackle (10),Gx2,1,1.52,2.35,58.25,2.29,2.33,Holofoil,[1W] Mud Slap (20),,
232333,Mudkip - 19/25,Mudkip 19 25,https://tcgplayer-cdn.tcgplayer.com/product/232333_200w.jpg,3,2782,https://cpt.tcgcsv.com/HXS2,2025-10-31T19:09:36.79,1,019/025,Promo,Water,60,Basic,[W] Tackle (10),Gx2,1,0.2,0.52,30.0,0.52,0.4,Normal,[1W] Mud Slap (20),,
232334,Piplup - 20/25,Piplup 20 25,https://tcgplayer-cdn.tcgplayer.com/product/232334_200w.jpg,3,2782,https://cpt.tcgcsv.com/JXS2,2025-10-31T19:09:34.763,1,020/025,Promo,Water,70,Basic,[1] Peck (10),Lx2,1,0.15,0.65,16.25,0.72,,Normal,[1W] Wave Splash (20),,
232334,Piplup - 20/25,Piplup 20 25,https://tcgplayer-cdn.tcgplayer.com/product/232334_200w.jpg,3,2782,https://cpt.tcgcsv.com/JXS2,2025-10-31T19:09:34.763,1,020/025,Promo,Water,70,Basic,[1] Peck (10),Lx2,1,0.59,2.57,19.5,2.45,2.49,Holofoil,[1W] Wave Splash (20),,
232335,Oshawott - 21/25,Oshawott 21 25,https://tcgplayer-cdn.tcgplayer.com/product/232335_200w.jpg,3,2782,https://cpt.tcgcsv.com/KXS2,2025-11-13T14:00:48.743,1,021/025,Promo,Water,60,Basic,"[1W] Water Pulse (20)
<br>Flip a coin. If heads, the Defending Pokémon is now Asleep.",Lx2,1,0.11,0.45,3.5,0.45,0.25,Normal,,,
232335,Oshawott - 21/25,Oshawott 21 25,https://tcgplayer-cdn.tcgplayer.com/product/232335_200w.jpg,3,2782,https://cpt.tcgcsv.com/KXS2,2025-11-13T14:00:48.743,1,021/025,Promo,Water,60,Basic,"[1W] Water Pulse (20)
<br>Flip a coin. If heads, the Defending Pokémon is now Asleep.",Lx2,1,0.75,1.58,3.59,1.6,1.04,Holofoil,,,
232336,Froakie - 22/25,Froakie 22 25,https://tcgplayer-cdn.tcgplayer.com/product/232336_200w.jpg,3,2782,https://cpt.tcgcsv.com/LXS2,2026-02-27T23:48:16.773,1,022/025,Promo,Water,60,Basic,[W] Pound (10),Gx2,1,0.09,0.37,15.0,0.34,0.22,Normal,[1W] Water Drip (20),,
232336,Froakie - 22/25,Froakie 22 25,https://tcgplayer-cdn.tcgplayer.com/product/232336_200w.jpg,3,2782,https://cpt.tcgcsv.com/LXS2,2026-02-27T23:48:16.773,1,022/025,Promo,Water,60,Basic,[W] Pound (10),Gx2,1,0.7,1.58,4.95,1.54,1.58,Holofoil,[1W] Water Drip (20),,
232337,Popplio - 23/25,Popplio 23 25,https://tcgplayer-cdn.tcgplayer.com/product/232337_200w.jpg,3,2782,https://cpt.tcgcsv.com/MXS2,2026-01-28T16:14:32.947,1,023/025,Promo,Water,70,Basic,[W] Pound (10),Gx2,1,0.08,0.35,7.25,0.29,,Normal,[1W] Water Gun (20),,
232337,Popplio - 23/25,Popplio 23 25,https://tcgplayer-cdn.tcgplayer.com/product/232337_200w.jpg,3,2782,https://cpt.tcgcsv.com/MXS2,2026-01-28T16:14:32.947,1,023/025,Promo,Water,70,Basic,[W] Pound (10),Gx2,1,1.18,2.29,55.5,2.25,3.97,Holofoil,[1W] Water Gun (20),,
232338,Sobble - 24/25,Sobble 24 25,https://tcgplayer-cdn.tcgplayer.com/product/232338_200w.jpg,3,2782,https://cpt.tcgcsv.com/NXS2,2025-10-31T19:09:36.573,1,024/025,Promo,Water,60,Basic,"[1W] Bind (20)
<br>Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Lx2,1,2.0,3.64,96.95,3.03,3.99,Holofoil,,,
232338,Sobble - 24/25,Sobble 24 25,https://tcgplayer-cdn.tcgplayer.com/product/232338_200w.jpg,3,2782,https://cpt.tcgcsv.com/NXS2,2025-10-31T19:09:36.573,1,024/025,Promo,Water,60,Basic,"[1W] Bind (20)
<br>Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Lx2,1,0.12,0.4,2.49,0.4,0.22,Normal,,,
232339,Pikachu - 25/25,Pikachu 25 25,https://tcgplayer-cdn.tcgplayer.com/product/232339_200w.jpg,3,2782,https://cpt.tcgcsv.com/PXS2,2026-02-18T21:15:29.383,1,025/025,Promo,Lightning,60,Basic,"[L] Meal Time
<br>Flip a coin until you get tails. For each heads, draw a card.",Fx2,1,0.5,2.82,66.2,2.75,,Normal,[1L] Gnaw (20),M-20,
232339,Pikachu - 25/25,Pikachu 25 25,https://tcgplayer-cdn.tcgplayer.com/product/232339_200w.jpg,3,2782,https://cpt.tcgcsv.com/PXS2,2026-02-18T21:15:29.383,1,025/025,Promo,Lightning,60,Basic,"[L] Meal Time
<br>Flip a coin until you get tails. For each heads, draw a card.",Fx2,1,8.0,21.62,59.99,20.47,,Holofoil,[1L] Gnaw (20),M-20,
232341,Litten - 15/25,Litten 15 25,https://tcgplayer-cdn.tcgplayer.com/product/232341_200w.jpg,3,2782,https://cpt.tcgcsv.com/RXS2,2026-02-28T05:06:52.5,1,015/025,Promo,Fire,70,Basic,[R] Bite (10),Wx2,1,0.48,1.26,7.29,1.25,0.66,Holofoil,[1R] Flare (20),,
232341,Litten - 15/25,Litten 15 25,https://tcgplayer-cdn.tcgplayer.com/product/232341_200w.jpg,3,2782,https://cpt.tcgcsv.com/RXS2,2026-02-28T05:06:52.5,1,015/025,Promo,Fire,70,Basic,[R] Bite (10),Wx2,1,0.05,0.41,2.0,0.4,,Normal,[1R] Flare (20),,
232748,McDonald's 25th Anniversary Booster Pack,McDonalds 25th Anniversary Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/232748_200w.jpg,3,2782,https://cpt.tcgcsv.com/-6T2,2021-02-16T13:40:43.563,1,,,,,,,,,4.99,7.81,35.0,7.32,,Normal,,,Each McDonald's 25th Anniversary booster pack contains 4 promo cards.
