productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2
556903,Basic Lightning Energy - Pikachu 27,Basic Lightning Energy Pikachu 27,https://tcgplayer-cdn.tcgplayer.com/product/556903_200w.jpg,3,23520,https://cpt.tcgcsv.com/5Ns6,2024-06-24T19:05:01.57,1,,,0.01,0.15,0.49,0.14,,Normal,Common,004,Basic Lightning Energy,,,,,,,
556904,Basic Lightning Energy - Pikachu 31,Basic Lightning Energy Pikachu 31,https://tcgplayer-cdn.tcgplayer.com/product/556904_200w.jpg,3,23520,https://cpt.tcgcsv.com/6Ns6,2024-06-24T19:05:13.62,1,,,0.01,0.15,6.55,0.1,,Normal,Common,004,Basic Lightning Energy,,,,,,,
556905,Basic Lightning Energy - Pikachu 35,Basic Lightning Energy Pikachu 35,https://tcgplayer-cdn.tcgplayer.com/product/556905_200w.jpg,3,23520,https://cpt.tcgcsv.com/7Ns6,2024-06-24T19:05:27.153,1,,,0.01,0.15,0.49,0.1,,Normal,Common,004,Basic Lightning Energy,,,,,,,
556906,Basic Lightning Energy - Pikachu 39,Basic Lightning Energy Pikachu 39,https://tcgplayer-cdn.tcgplayer.com/product/556906_200w.jpg,3,23520,https://cpt.tcgcsv.com/8Ns6,2024-06-24T19:05:48.16,1,,,0.01,0.15,0.49,0.1,,Normal,Common,004,Basic Lightning Energy,,,,,,,
556907,Basic Lightning Energy - Pikachu 43,Basic Lightning Energy Pikachu 43,https://tcgplayer-cdn.tcgplayer.com/product/556907_200w.jpg,3,23520,https://cpt.tcgcsv.com/9Ns6,2024-06-24T19:06:00.673,1,,,0.01,0.15,0.49,0.14,,Normal,Common,004,Basic Lightning Energy,,,,,,,
556908,Basic Lightning Energy - Pikachu 48,Basic Lightning Energy Pikachu 48,https://tcgplayer-cdn.tcgplayer.com/product/556908_200w.jpg,3,23520,https://cpt.tcgcsv.com/bNs6,2024-06-24T19:06:16.3,1,,,0.01,0.15,6.55,0.16,,Normal,Common,004,Basic Lightning Energy,,,,,,,
556909,Youngster - Darkrai Deck,Youngster Darkrai Deck,https://tcgplayer-cdn.tcgplayer.com/product/556909_200w.jpg,3,23520,https://cpt.tcgcsv.com/cNs6,2024-06-24T19:08:04.4,1,"Shuffle your hand into your deck. Then, draw 5 cards.
<br><br>You may play only 1 Supporter card during your turn.",,0.05,0.15,0.99,0.11,,Normal,Uncommon,198/198,Trainer - Supporter,,,,,,,
556910,Flaaffy - Pikachu 5,Flaaffy Pikachu 5,https://tcgplayer-cdn.tcgplayer.com/product/556910_200w.jpg,3,23520,https://cpt.tcgcsv.com/dNs6,2024-06-24T19:09:06.67,1,,,0.25,0.44,1.25,0.46,,Normal,Promo,108,Lightning,90,Stage 1,[L] Headbutt (20),Fx2,None,2,[L][C] Electro Ball (50)
556911,Flaaffy - Pikachu 37,Flaaffy Pikachu 37,https://tcgplayer-cdn.tcgplayer.com/product/556911_200w.jpg,3,23520,https://cpt.tcgcsv.com/fNs6,2024-06-24T19:09:32.263,1,,,0.25,0.5,1.0,0.4,,Normal,Promo,108,Lightning,90,Stage 1,[L] Headbutt (20),Fx2,None,2,[L][C] Electro Ball (50)
556912,Flaaffy - Pikachu 53,Flaaffy Pikachu 53,https://tcgplayer-cdn.tcgplayer.com/product/556912_200w.jpg,3,23520,https://cpt.tcgcsv.com/gNs6,2024-06-24T19:09:52.377,1,,,0.15,0.32,0.99,0.32,,Normal,Promo,108,Lightning,90,Stage 1,[L] Headbutt (20),Fx2,None,2,[L][C] Electro Ball (50)
