productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extCardText
85903,Greninja,Greninja,https://tcgplayer-cdn.tcgplayer.com/product/85903_200w.jpg,3,1522,https://cpt.tcgcsv.com/5nJ,2022-12-14T16:14:02.493,1,14/39,Common,Water,140,Stage 2,"[1] Mat Block (40) 
<br>Flip a coin.  If heads, discard an Energy attached to your opponent's Active Pokemon.",Gx2,None,1,2.01,2.48,9.95,4.51,,Normal,[1WW] Aqua Edge (80),
85903,Greninja,Greninja,https://tcgplayer-cdn.tcgplayer.com/product/85903_200w.jpg,3,1522,https://cpt.tcgcsv.com/5nJ,2022-12-14T16:14:02.493,1,14/39,Common,Water,140,Stage 2,"[1] Mat Block (40) 
<br>Flip a coin.  If heads, discard an Energy attached to your opponent's Active Pokemon.",Gx2,None,1,3.06,6.91,10.0,8.25,,Holofoil,[1WW] Aqua Edge (80),
86167,Honedge,Honedge,https://tcgplayer-cdn.tcgplayer.com/product/86167_200w.jpg,3,1522,https://cpt.tcgcsv.com/mtJ,2022-12-14T16:16:58.683,1,21/39,Common,Metal,60,Basic,"[1M] Continuous Slash (30x) 
<br>Flip a coin until you get tails.  This attack does 30 damage times the number of heads.",Rx2,P-20,2,0.43,0.7,3.49,0.89,,Normal,,
86285,Inkay,Inkay,https://tcgplayer-cdn.tcgplayer.com/product/86285_200w.jpg,3,1522,https://cpt.tcgcsv.com/KwJ,2022-12-14T16:14:28.8,1,18/39,Common,Darkness,60,Basic,[D] Peck (10),Fx2,P-20,1,0.24,0.39,5.0,0.55,,Normal,,
87355,Metal Energy (Basic),Metal Energy Basic,https://tcgplayer-cdn.tcgplayer.com/product/87355_200w.jpg,3,1522,https://cpt.tcgcsv.com/7ZJ,2015-04-03T12:35:55.613,1,,Common,Basic Energy,,,,,,,0.2,0.92,1.55,0.57,,Normal,,
87449,Mightyena,Mightyena,https://tcgplayer-cdn.tcgplayer.com/product/87449_200w.jpg,3,1522,https://cpt.tcgcsv.com/_-J,2022-12-14T16:14:22.79,1,17/39,Common,Darkness,90,Stage 1,"[1D] Hard Bite (40+) 
<br>Flip a coin.  If heads, this attack does 20 more damage.",Fx2,P-20,1,0.64,0.87,5.0,1.84,,Normal,,
87468,Miltank,Miltank,https://tcgplayer-cdn.tcgplayer.com/product/87468_200w.jpg,3,1522,https://cpt.tcgcsv.com/n_J,2022-12-14T16:17:33.293,1,27/39,Common,Colorless,100,Basic,"[3] Sitdown Splash (50+) 
<br>Flip a coin.  If heads, this attack does 20 more damage.",Fx2,None,3,2.18,4.96,6.0,6.81,,Normal,,
87931,Panpour,Panpour,https://tcgplayer-cdn.tcgplayer.com/product/87931_200w.jpg,3,1522,https://cpt.tcgcsv.com/FbK,2022-12-14T16:13:44.29,1,11/39,Common,Water,70,Basic,"[1] Collect 
<br>Draw a card.",Gx2,None,1,0.25,0.74,2.5,1.11,,Normal,"[2] Fury Swipes (10x) 
<br>Flip 3 coins.  This attack does 10 damage times the number of heads.",
87939,Pansage,Pansage,https://tcgplayer-cdn.tcgplayer.com/product/87939_200w.jpg,3,1522,https://cpt.tcgcsv.com/PbK,2022-12-14T16:12:19.337,1,2/39,Common,Grass,70,Basic,"[1] Collect 
<br>Draw a card.",Rx2,None,1,0.22,0.4,5.0,0.54,,Normal,"[2] Fury Swipes (10x) 
<br>Flip 3 coins.  This attack does 10 damage times the number of heads.",
87946,Pansear,Pansear,https://tcgplayer-cdn.tcgplayer.com/product/87946_200w.jpg,3,1522,https://cpt.tcgcsv.com/XbK,2022-12-14T16:13:14.15,1,7/39,Common,Fire,70,Basic,"[1] Collect  
<br>Draw a card.",Wx2,None,1,0.21,0.36,5.0,0.4,,Normal,"[2] Fury Swipes (10x) 
<br>Flip 3 coins.  This attack does 10 damage times the number of heads.",
87973,Pawniard,Pawniard,https://tcgplayer-cdn.tcgplayer.com/product/87973_200w.jpg,3,1522,https://cpt.tcgcsv.com/tcK,2022-12-14T16:14:36.457,1,19/39,Common,Metal,60,Basic,[M] Pierce (10),Rx2,P-20,1,0.13,0.37,5.0,0.44,,Normal,[2] Cut (20),
88194,Poke Ball,Poke Ball,https://tcgplayer-cdn.tcgplayer.com/product/88194_200w.jpg,3,1522,https://cpt.tcgcsv.com/VhK,2022-12-14T16:18:28.683,1,35/39,Common,Item,,,,,,,0.03,0.19,5.0,0.16,,Normal,,"You may play as many Item cards as you like during your turn <em>(before your attack).</em>
<br>
<br>
Flip a coin.  If heads, search your deck for a Pokemon, reveal it, and put it into your hand.  Shuffle your deck afterward."
88211,Pokemon Catcher,Pokemon Catcher,https://tcgplayer-cdn.tcgplayer.com/product/88211_200w.jpg,3,1522,https://cpt.tcgcsv.com/fjK,2022-12-14T16:18:34.353,1,36/39,Common,Item,,,,,,,0.15,0.29,1.49,0.4,,Normal,,"You may play as many Item cards as you like during your turn <em>(before your attack).</em>
<br>
<br>
Flip a coin.  If heads, switch 1 of your opponent's Benched Pokemon with his or her Active Pokemon."
88302,Poochyena,Poochyena,https://tcgplayer-cdn.tcgplayer.com/product/88302_200w.jpg,3,1522,https://cpt.tcgcsv.com/3lK,2022-12-14T16:14:13.753,1,16/39,Common,Darkness,60,Basic,[1D] Bite (20),Fx2,P-20,1,0.2,0.36,5.0,0.75,,Normal,,
